Alimento;Kcal (100g);Proteína (g);Hidratos (g);Gordura (g)
Batata cozida;59;1,5;12,4;0
Batata crua;90;2,5;19,2;0
Batata doce assada;123;1;28,3;0
Batata doce crua;123;1;28,3;0
Batata estufada com cebola, azeite e óleo alimentar;97;2;14,5;3,1
Batata frita caseira (em palitos);227;3,7;27,6;10,8
Batata frita, de pacote (em rodelas);543;5,7;39;38,1
Batata, fécula;345;0,5;85;0,3
Bebida refrigerante, cola;32;0;7,9;0
Bebida refrigerante, cola sem açúcar;0;0;0;0
Bebida refrigerante, gasosa;28;0;7;0
Bebida refrigerante, laranja;31;0;7,7;0
Bebida vegetal à base de amêndoa (alternativa ao leite);29;0,4;3,7;1,3
Bebida vegetal à base de amêndoa, 0% açúcares (alternativa ao leite);17;0,4;0,3;1,5
Bebida vegetal à base de amêndoa, com aroma a chocolate (alternativa ao leite);49;0,7;8,4;1,4
Bebida vegetal à base de arroz (alternativa ao leite);51;0,2;10,6;0,9
Bebida vegetal à base de aveia (alternativa ao leite);46;0,6;8,2;1,2
Bebida vegetal à base de aveia, 0% de açúcar (alternativa ao leite);36;0,2;6;1,2
Bebida vegetal à base de aveia, com açúcares adicionados (alternativa ao leite);59;0,7;6;3,3
Bebida vegetal à base de soja (alternativa ao leite);49;3;4,1;2,2
Bebida vegetal à base de soja com açúcar, com cálcio, sal e aromas (alternativa ao leite);42;3;3,3;1,6
Bebida vegetal à base de soja com açúcar, sal e aromas (alternativa ao leite);59;3;6,7;2,2
Bebida vegetal à base de soja natural, sem açúcar e sem sal (alternativa ao leite);37;3,1;1,3;2,2
Beldroega crua;13;1;1;0
Berbigão aberto ao natural sem sal;118;21;5,4;1,4
Berbigão cru;59;10,5;2,7;0,7
Beringela crua;21;1,1;2,4;0,2
Beringela grelhada com azeite;99;2;4,3;7,1
Besugo cru;102;19,5;0;2,7
Beterraba (raiz) cozida sem sal;23;1;3,4;0
Beterraba (raiz) crua;23;1;3,5;0
Biscoitos caseiros;423;6,7;73,4;11
Biscoitos limão;382;6,7;77,9;4,4
Biscoitos, argolas;451;5,4;69,7;16,5
Biscoitos, línguas de gato;377;5,2;84,1;1,8
Biscoitos, línguas de veado;474;5,8;65,1;20,7
Biscoitos, palitos la Reine;381;11,5;66,6;7,2
Bola de Berlim sem creme;402;6,8;43,7;21,5
"Bolacha ""Belga""";487;7,1;70,1;19,6
"Bolacha ""Cream cracker""";442;10,8;61,6;16,2
"Bolacha ""waffer"" baunilha";564;3,2;55,3;36,4
Bolacha água e sal;437;8,7;71;12,6
Bolacha aveia;443;10;57,5;18,3
Bolacha chocolate;510;6;67,3;23,4
Bolacha integral (trigo);450;8,8;65,6;15,6
Bolacha manteiga;483;6,2;65,2;21,3
Bolacha Maria;436;8,4;72;12,2
Bolacha torrada;437;7,3;68,5;14,4
Bolo-Rei;407;7,9;57,4;14,9
Bolo de arroz;391;5,8;48,1;19,2
Bolo de bolacha Maria;389;3,9;46,3;20,7
Bolo de chocolate;463;7,4;47;26,4
Bolo de coco;454;4,2;37,8;31
Bolo ferradura;351;5,9;71,6;4,1
Bolo inglês;380;5,1;57;13,9
Borrego, perna no forno;168;21,9;0,4;7,6
Borrego, perna ou costeleta assada com azeite e margarina;234;23,3;0;15,6
Borrego, perna ou costeleta assada com margarina;224;23,3;0;14,5
Borrego, perna ou costeleta assada com margarina, sem molho;166;24,5;0;7,6
Borrego, perna ou costeleta assada sem molho;168;24,1;0;8
Borrego, perna ou costeleta cozida;157;26,5;0;5,7
Borrego, perna ou costeleta crua;124;19,7;0;5
Borrego, perna ou costeleta estufada com azeite e margarina;183;16,2;1,6;12
Borrego, perna ou costeleta estufada com margarina;175;16,2;1,6;11,1
Borrego, perna ou costeleta estufada sem molho;185;25,5;0;9,2
Borrego, perna ou costeleta grelhada;152;25,7;0;5,5
Brandy;246;0;0;0
Brócolos cozidos;29;2,9;2,2;0,3
Brócolos crus;32;3,4;1,5;0,8
Bulgur;344;12,1;65,6;1,9
Búzio cru;82;17,8;2,3;0,2
Cabrito, costeleta crua;120;23,9;0;2,7
Cabrito, costeleta grelhada;151;30,9;0;3
Cabrito, peito cru;116;20,5;0;3,8
Cabrito, peito estufado com azeite e margarina;173;23,3;0,8;8,4
Cabrito, peito estufado com azeite e óleo alimentar;176;23,3;0,7;8,8
Cabrito, peito estufado com manteiga e óleo alimentar;173;23,3;0,8;8,4
